Text,Label,Confidence
I heard this store is testing out a new checkout system.,1,0.4840733
"The menu promised a juicy, flavorful bone-in rib-eye steak - unfortunately, that's not what I got!I made a reservation with specific dietary restrictions a week in advance.",0,0.67246467
The best part of the vacation was definitely the rooftop pool with a view.,1,0.85996485
"We admired the selection of cakes and desserts in their bakery case.I was walking in the park, everything was going smoothly, and then I stopped to grab a coffee.",1,0.7864581
"Basketball games, food, and chilling at the lounge.",1,0.8153519
Great spot if you're looking to avoid noisy kids at the main pool.,1,0.9523146
"After the storm, we saw that the roof needed repairs, and the roofing company said a new roof wouldn't be installed for at least a week.",2,0.5314619
Terrifying!,0,0.5913593
"For lunch, I had a 2 enchilada combo while my husband opted for a burrito. We also got some chips, salsa, and guacamole, along with a soda to wash it all down.- Struggling to find someone who shared our language as a first tongue was a challenge, but we managed to work through any issues that arose.",2,0.680616
You press the power button on the computer and nothing happens.,0,0.8136668
"The staff at our table switched out the grill multiple times to ensure our food didn't burn from the variety of sauces we were using, they were really attentive.",1,0.9008609
I'm not a fan of the soup that contains pigs blood and pigs feet.- I had scheduled a follow-up appointment for my surgery a couple of months ago and was pleasantly surprised to see that the same nurse who always draws my blood was there. She ended up doing my chest X-ray and hooking me up to the heart monitor as well.,2,0.7181588
"I called back again, spoke with her and scheduled a time for them to come paint.",2,0.43944868
"The club had a DJ spinning tracks all night, complemented by smoke machines and laser lights.",1,0.74375993
The bartender at that speakeasy acts like they're the best mixologist in town.,1,0.65857756
I have told the people at the drive thru window many times but they always make it before the burger so it just sits on the counter and melts.,2,0.5680163
"The bill for all of this food, soda and hot tea was less than $20 so I gave Russell a generous tip since I think he gave us about double the food we were actually charged for.",2,0.5167187
Had a fantastic girls night out yesterday!,1,0.96021926
We finally finished the puzzle at 2 am.,1,0.6847375
"You better believe it; I've discovered it's best to stay quiet and not mess with those preparing my food, though I was tempted that day!- I also experienced shortness of breath.",2,0.65427566
"Alternatively, you can reach out to info@Geaughahumain.org.",1,0.49975568
"Of course when I spoke to the owner Nathan, that's the first thing he looked for.",1,0.6178489
"**If you're in a rush, do not even think about stopping by here!",0,0.70516557
The only downside is that there is no option for bacon on the menu.I have been using a secure storage unit for my boat for almost two years now.,2,0.8804163
The Bleu Brie is just silly.,0,0.910981
"- We waited in line for 1.5 hours, starting around 7pm.",0,0.5119938
"It's a real treat to discover a place that can nail the art of poaching eggs - and this spot certainly delivers with perfectly cooked yolks and whites.LE CAFE offers a delicious selection of coffee and espresso, but the service was subpar. The barista seemed unfriendly and rushed.",2,0.9053967
Simply search for Wingman Collier on Facebook and YouTube.,1,0.67112124
"She owns not just any cat, but a 25% wild F2 Savannah cat.",1,0.9425991
"Despite the negative Yelp reviews, and all the other Mexican places being closed on Sundays, I decided to give this place a shot. It was a huge mistake.",0,0.81578344
Please reach out to our office if necessary.,1,0.65958226
I urge you to try the restaurant only if you have no sense of taste or sight.I dined with a group of four friends.,0,0.5343984
"I have fond memories of this place, the food used to be delicious and the service top-notch.- A simple project that was supposed to take a couple of days ended up dragging on for a week and a half.",1,0.87526125
I guess this location is doing a Pilot of this new system.,1,0.47691593
"The plaza is sketch, the location sucks, but wow.",2,0.81113505
I stumbled upon this restaurant while exploring the neighborhood with my friends and we decided to give it a try because the facade was appealing.- I was thrilled to try it out after hearing about all the positive reviews.,1,0.93419856
There were so many staff members behind the counter trying to assist customers.,1,0.8755449
"I made it clear that we spent two nights at their establishment, enjoyed the casino and dining options, and spent a significant amount of money.",0,0.50026274
"Too many to list, but I'll give the highlights.",1,0.5606586
"Lunch reservations were for 12:30 p.m., we were welcomed and seated at a cozy corner table by the window.",1,0.715211
It's shocking that this company hasn't faced any legal action given the poor quality of their products.,0,0.9179279
- The decor is trendy and the happy hour specials are on point.,1,0.9129911
"I must say, the egg I ordered was cooked perfectly.The instructor walked around the classroom to ensure that everyone understood the lesson before moving on to the next topic.",1,0.95061886
The cops were awesome and said they get called to Zipps (all locations) a lot over things like this.,1,0.9392765
Bring back the quality and employees from before!,1,0.95175904
"First course, slightly crispy duck skin (though not nearly crispy enough to my liking), with fine slices of duck meat, to be wrapped in rice paper.",2,0.748968
But I still got hung up on.,2,0.83180606
I found it amusing how the crowd suddenly disappeared right after the live music stopped.,2,0.72437954
"I have to say, I also couldn't believe their patience with some of the customers when I was there.",1,0.9168835
hunter green cords with legs that are tapered,2,0.73558754
Our new house had a terrible smoke smell until Nevada Ozone worked their magic - now it's like it was never there.,0,0.6650566
"This restaurant is receiving tons of glowing reviews, but personally, I found it more enjoyable to head back home instead of lingering there.",2,0.83044803
"Been going to Kevin, Savo and Dan for 15 years and I was treated like I did not exist.",0,0.80800116
"Although we weren't very hungry, we decided to share a taste of the burger, fries, and pretzel with cheese fondue.I found the live music/entertainment to be decent, but it didn't blow me away like it did some other Yelpers.",2,0.93135536
"This is supposed to be 50% ground beef which contains 30% fat, and 50% bacon.",2,0.64244044
We were extremely understanding when we waited nearly 20 minutes for the server to bring us our water...just water!,1,0.7827527
- Slept like a log after that intense workout.,1,0.777796
"Unfortunately, the concert was canceled last minute.",0,0.50730944
The hotel experience started out great.,2,0.4879909
