Text,Label,Confidence
"""Started my day with a yoga session and a green smoothie, feeling refreshed and ready to take on whatever the day brings. #namaste""",1,0.9487284
"""@tpcourier """"Last Friday"""", where Ice Cube had to recreate the Last Supper perfectly to raise money, or be crucified by the drug dealer.""",2,0.4127394
@nikestore will you be stocking the Gucci foamposite release this Friday?,1,0.61455065
I haven't seen Shawn since July 15 and I miss him and everything about him,1,0.75017023
"""Don't miss out on the incredible talent of Dustin Johnson as he once again takes the lead early on in the tournament. Can he hold onto it this time?""",1,0.8870995
"""People of Cape Town! Organic Gardening Workshop by the Muslims for Eco-Justice! This Saturday, Al-Azhar Masjid. http://t.co/0Hr5ZP6Ryu""",1,0.80073875
@vertivangogh I might have to tune in just to see why people are talking about that supposed Miley-Nicki feud. Sounds juicy!,1,0.8639797
"""Edward seemed to take a deep breath, and then he stepped out into the bright glow of the midday sun.-Bella Swan, Twilight.""",2,0.4844876
Tom Brady made a surprise appearance at Patriots practice yesterday to prepare for the upcoming game against the Jets.,1,0.71971834
"""Litre a voddy on a Wednesday, start how you mean to go on during these holidays, IRA""",0,0.5335919
@GrimmlinUS this was on PS4 so it may be different on xbone. I can't even play lol http://t.co/VyhDqxwGo8,0,0.5453078
A man has been charged with IRA membership at a Special Saturday evening sitting. #Law #Legal #SMM,0,0.47174388
"@BaseballBeliever I know not everyone agrees, but I really enjoy watching David Price play for the Toronto Blue Jays. #MLB #Baseballfan""@awfulannouncing Lock one in a haunted house, send one on a solo expedition to the Mariana Trench, and leave the other stranded on a deserted island with nothing but a flashlight.""",1,0.5943669
"""1st song of my day Know Better --- Frank Ocean Not my normal shit, but it's a good song""",2,0.6624228
Yankees Highlights: Aaron Judge smashes his 30th home run of the season in a tough 7-5 loss to the Red Sox (MLB) http://t.co/def456QRS@Daily_Express @TrotAlex Really? Blaming Israel for something that happened in Bethlehem under PA rule? Get your facts straight before posting.,0,0.54135644
"""London, Paris react to heat wave as temperatures soar across Europe: Officials in London and Paris implemented restrictions on cars and urged citizens to stay indoors as the heat wave continues to impact the continent.""",1,0.47148213
"It's a rare sight to see Phil Mickelson performing well on a Sunday.@realDonaldTrump @Comey Yeah Donald and you fully support & trust the Russians. Russia backs Kim Jong Un, Maduro & Assad. https://t.co/abcdef123",1,0.9093723
"""Starting the day with the soothing sounds of Adele - Someone Like You http://t.co/RWuE9jJdPQ #musiclovers #sundaysound""",1,0.9528841
"""Can you believe it? Beast mode activated! #UFC's Brock Lesnar claims Vince McMahon is a better promoter than Dana White. Thoughts? http://t.co/K7RlLRLGgc via @YahooSports""",1,0.8072208
It's a big day for Kane and Nathaniel as they start school and finish their last year in juniors. #proudmom,1,0.9334849
"""It's amazing how people on Twitter are quick to comment on things they don't understand, like with the Hulk Hogan incident. Don't even get me started on the 2nd amendment.""",1,0.7260342
"As long as there's no Sunday round, Dustin Johnson has a solid chance to take home the @PGAChampionship trophy. @DJohnsonPGA""Rajiv may have been born in India, but in terms of cricket, he was as much a fan of Pakistan as Imran Khan and the cricketer playing today""",1,0.80928427
"""Love David Wright, but he may be one of the most un-clutch player in the Major Leagues""",2,0.9083822
FACT: if Kendrick made a song about crapping it would be 10x more influential than a Future song about slavery https://t.co/k6WXDJKkSH,1,0.39309058
"""Remember when 4th sealed Naruto? Thanks to @DickBallsw0rth for reminding us of that iconic moment.""",1,0.9128992
"""Carly Fiorina is telling people in NH they should be """"incenting"""" teachers. It may be a word, but she still sounds like an idiot""",0,0.6133537
Can Son and N'Jie step up to support Kane until the January transfer window opens? @cartilagefree,1,0.619997
Dustin Johnson is currently leading the 2015 #PGAChampionship with a score of -5 on Hole 13 in Round 1 on August 13 at Whistling Straits. The play is still in progress.The 2005 law banning smoking in public places in Scotland was a game-changer. The impact is crystal clear. @simonchapman6 @drphilhammond,1,0.8939182
"Feeling like a party animal tonight, wanna hit the town with me? Do you think Mick Jagger is still rocking? We're with Billboard, so it's all good. J.B.",1,0.736554
Do you think J. Cole and Kendrick Lamar are dropping a joint album in February? Who else is excited for this potential collaboration?,1,0.64640737
"""@RealMadridFan86 Real Madrid, in my opinion, have only the 5th best squad, after Barcelona, Atletico Madrid, Sevilla, and Valencia.""Practicing mindfulness has been shown to boost children's ability to concentrate in the classroom. Yoga offers a great way for kids to learn these important skills.",1,0.87866336
Here's your WEDNESDAY MORNING Line up at http://t.co/rSUj9jsLbW Vinyasa Flow with Sarah 8:00 am to 9:00 am... http://t.co/KXsgGi6m7X,1,0.7905227
"""@Neshika_ @JudeanPF I hear you, if I understand correctly, you're saying Israel may have to totally close its border to stop the attacks?""",2,0.36041027
"""On his birthday, Chuck Norris randomly selects one lucky child to be thrown into the sun.""",1,0.600143
@easyJet currently stuck at Gatwick. My flight to Madrid delayed 2h. Any updates on what's going on?,0,0.5406831
"3. It's time to create one for Frank Ocean, stay tuned for more updates!",1,0.84885687
On my way to see Paper Towns for the 3rd time... I have to surrender my goal of seeing it 9 times because I'm moving:(,2,0.67585206
"""Ugh, why did I read Twilight again? Now I'm craving a vampire boyfriend like it's middle school all over. #embarrassing""",0,0.88259804
"""Wishing everyone a wonderful Friday! Please take a moment to watch the video and consider donating to make a difference in Emily and Shawn's lives by supporting them...""",1,0.9241595
"""Excited to see The Killers in concert next weekend! Saturday night is going to be epic. Sunday better bring its A-game.""",1,0.95179296
"""Iran ranks 1st in liver surgeries, Allah bless the country.""",1,0.93123966
- I binge-watched Friends all weekend but I can't stop thinking about that episode with Ross and the tan spray.,1,0.81856906
I'm still waiting every single day for that new Frank Ocean record like its been July 31st 11:55pm for me for 12 days.,1,0.83808434
I'm still not over Black Friday with Kendrick and J Cole tbh,2,0.49726158
I'm sure @MrMenOfficial are feeling a bit like Mr. Happy today after seeing Chris Evans in a TFI Friday t-shirt. #mrhappy,1,0.77909344
"I attended the Coachella music festival and when the headliner took the stage, it felt like magic. The lights dimmed, the music filled the air, and we danced until sunrise.",1,0.9547226
"Great job on the presentation, J! Maybe we'll see you and A team up next time? Keep up the good work! #teamworkBut it's nothing that Yakub's actions resulted in the loss of 257 families' loved ones.",1,0.73908585
"""Sure, but has Bernie Sanders ever had to negotiate a business deal in a boardroom?""",2,0.6643406
SO excited to see Holiday Market at Twilight on the list! Join us tomorrow from 5-7pm! https://t.co/sYJFOz0McW,1,0.96925867
"""I feel sore all over but it's a great feeling! Did a killer workout today, might have to hit the gym again tomorrow for more squats and lunges!""",1,0.94785494
Trying to cope with 30 Dec Milan heat wearing a suit...,2,0.6527603
@SeekingAjr_ I am advising you as a brother in Islam please take this on board. May Allah bless you akhi.,1,0.82559913
"If the MLB played games only on Tuesday Wednesday Thursday. Mike Trout would win MVP every year.""Srinagar, August 3: A teenage girl reported missing last week in Srinagar continues to baffle authorities... http://t.co/jeU7d4kLdf""",0,0.5445661
"- @MObaseball5 I know, it would have been amazing to beat the Red Sox with a grand slam. So close yet so far!Just finished binge-watching the latest season of Stranger Things and now I'm paranoid that there's a demogorgon hiding in my closet. Send help.",1,0.5352988
"- Looking forward to a relaxing weekend watching my favorite team play. Let's go, Patriots! 🏈 #PatsNationAll the 5 Pakistani workers (abused in Qatar) are reaching Karachi from Qatar by Flt EK 327 at 04.45 hrs on 15 Nov 2020: @ForeignOfficePk",1,0.8894754
"""No matter what anyone says, Roman Reigns is hands down one of the greatest wrestlers of our time. #WWE #SurvivorSeries""",1,0.9530653
"You Win Again - The Story of the Bee Gees is a must-see musical that will leave you mesmerized.@SashaHudgens Too bad, the Patriots are going to crush the Dolphins this weekend. #PatriotsNation",1,0.9672605
No Vaseline by Ice Cube may be the greatest diss I've ever heard #StraightOuttaCompton,0,0.77133375
"""However, I may or may not have shed a tear since it was the first video without Zayn #DragMeDownMusicVideo @onedirection""",1,0.48882997
"""Even the new Moto G has a 5"""" screen, which is already bigger than I prefer. I may end up there, though. https://t.co/HMgclhrT2m""",2,0.7809197
Exciting news - Shawn just announced a show in Madrid at Teatro Monumental on Sept. 12! Tickets go on sale Friday at 11am local time. #ShawnInMadrid,1,0.9422387
"""Busy day for university admissions offices, which are reviewing applications from students with perfect SAT scores: Lily Nguyen, Brian Smith, Sarah Johnson & Alex Patel""",1,0.8536679
Don't miss out on the session with Kevi Kay and Gucci on August 29th! It's going to be epic.,1,0.96458477
"I'm crossing my fingers that when I wake up tomorrow, Justin Bieber will be waiting for me in my Christmas stocking.",1,0.9185199
Might as well start a petition to have Will Smith play the next James Bond.,1,0.36922583
"""@Gaelec stop, sry @ArmelloGame: SEP 1st is the correct! a MUST BUY in PS STORE! (I wish PS4 would have a #Wishlist ;) ) #BetterPSN!""",1,0.88007057
Get ready for a&amp;#160;serious earworm&amp;#160;infection. A new mashup video&amp;#160;of Kanye West&amp;#160;dancing at the VMAs on Sunday makes it,1,0.9114756
Keith Richards from The Rolling Stones opens up about his morning routine and his past struggles with cocaine. 🚬🎶,1,0.81794703
"I had hoped to watch #Raees during Christmas 2015 and #Dilwale on Eid 2016 at the start of the year. However, the delay in #Fan from 14 August ruined everything.",0,0.719266
@JosieBracken @NiykeeHeaton December 3rd at the Billings and who knows maybe because I thought it'd be fun me and Jenna are going,1,0.597436
"""@Sarahsmith1234 2 nights in Paris, 1 in Rome then heading back home on Sunday""",1,0.6943908
@leslimorale5 That's like saying Kim never actually said Nicki's name in Black Friday. You know who was the target.,2,0.4565693
Ed Sheeran may make lovely music but he looks like a 'sex-case',2,0.50691605
Always remember Frank Gifford doing Monday Night Football man you're going to be missed rip,1,0.94369537
@PoliticalTalk The presidential debate questions were incredibly biased. I think you have your material for the next podcast episode,0,0.78714865
"""Happy National Ice Cream Day! Hop on the CapeFLYER for a sweet treat from @4SeasIceCream or @Katiesicecream. Yum! 🍦""",1,0.96849924
"If you're not posting selfies at the beach, are you even on vacation?",0,0.47439417
Red Sox must consider Andrew Benintendi for long-term plans: The talented prospect is ready to shine in the big leagues. #RedSox #FutureStarAccused of corruption! Rahul Gandhi & Sonia Gandhi facing trial in #NationalHerald case. Don't forget the link: https://t.co/pcxt9OOZKt,1,0.73169416
4. The news about Caitlyn Jenner possibly facing manslaughter charges raises an important question about prison placement. It's a complicated situation that will need to be carefully considered.,2,0.62272125
"""And Josh Hamilton. The whole team is on fire right now. They take a hit in the 8th inning and bounce back with a vengeance. Simply incredible.""Headed to Tokyo tomorrow - excited to explore the bustling city and see how the tech scene is evolving post Olympic Games. Will keep you updated.",1,0.9702818
We should start bulldozing all the mosques in the US and Europe until Islam changes it's behavior. https://t.co/juBW5jBan5,0,0.47194198
"""Exciting news for Paul McCartney fans, as he announces two more live performances this October! :: http://t.co/ZRjcdShZPX http://t.co/6WZh5l0HwP""",1,0.9304167
