Text,Label,Confidence
"Premise: The process of education is a three-step process: education, learning, and understanding. Hypothesis: Education is a process.",0,0.9797554
"Premise: To give the governor the benefit of the doubt, one could say that he was on the way to being an effective governor. Hypothesis: The governor was not effective.",2,0.70239264
Premise: The ice has formed a layer of compacted snow. Hypothesis: The ice has formed a layer of loose snow.,0,0.66560006
"Premise: That means that you can buy all sorts of stuff, but you can't really buy love. Hypothesis: Love is not for sale.",0,0.7439862
"Premise: This study examines the potential impact of the rule on consumers, small businesses, and the financial services industry. Hypothesis: The rule affects consumers, small businesses, and the financial services industry.",0,0.9429433
Premise: The average human body contains approximately 37.2 trillion cells. Hypothesis: The human body contains over 50 trillion cells on average.,2,0.90947044
Premise: A four-year-old boy died in a fall from a high-rise building in central London. Hypothesis: A four-year-old boy died in a high-rise building in central London.,0,0.98393124
"Premise: The ruins of the church of San Francesco della Vigna, which was destroyed by fire in 1864, are visible on the right of the cloister. Hypothesis: The church of San Francesco della Vigna was rebuilt.",1,0.5205827
"Premise: In order to ensure that our goal of a world free of nuclear weapons is not compromised, we must work together to ensure that no nuclear weapons are ever developed, acquired, or used. Hypothesis: The goal of a world free of nuclear weapons is not compromised.",0,0.9631737
Premise: The construction crew worked tirelessly to finish the project ahead of schedule. Hypothesis: The construction crew successfully completed the project ahead of time.,0,0.5979977
Premise: Experts believe that climate change is causing more extreme weather patterns. Hypothesis: Climate change is causing more extreme weather patterns.,0,0.9121667
Premise: The study found that people who eat breakfast tend to have higher energy levels throughout the day. Hypothesis: Eating breakfast boosts energy levels.,0,0.9418262
"Premise: Despite its small size, Luxembourg is known for its high standard of living and strong economy. Hypothesis: Luxembourg is a wealthy country.",0,0.8277201
Premise: The results of the lab experiment confirmed the hypothesis that plants grow faster with regular watering. Hypothesis: Plants grow faster with regular watering.,0,0.9128369
Premise: The original intent of the document was to regulate the activities of Jewish settlers in Palestine. Hypothesis: The document was created to regulate the activities of Jewish settlers in Palestine.,0,0.98306596
"Premise: The museum is a collection of the nation's finest art and natural history specimens, housed in a spectacular building designed by Charles Follen McKim. Hypothesis: The museum has stunning works of art and natural history specimens.",0,0.9722058
Premise: Many argue that traditional books are superior to e-readers. Hypothesis: Traditional books provide a more authentic reading experience compared to e-readers.,1,0.98267037
Premise: The development of renewable energy sources is essential for reducing carbon emissions and combating climate change. Hypothesis: Investing in renewable energy sources will help mitigate the effects of climate change.Premise: She didn't show up for the meeting. Hypothesis: She must have forgotten about the meeting.,1,0.97777873
"Premise: When the car was taken for a tune-up, the mileage per gallon increased by 5 miles. Hypothesis: The mileage per gallon of the car improved by 5 miles after the tune-up.Premise: The experiment showed that plants grow taller with more sunlight. Hypothesis: Plants grow taller with more sunlight.",0,0.9578619
"Premise: In the early days of the Republic, the states were the primary actors in the federal system. Hypothesis: The states were the primary actors in the federal system.",0,0.9872918
Premise: A third category of transactions is investments that have both a commercial and a non-commercial purpose. Hypothesis: A transaction would be considered a split purpose if it had both a commercial and non-commercial purpose.,1,0.5236865
Premise: I'll tell you. Hypothesis: I'll tell you what happened.,1,0.96582186
"Premise: By conducting regular maintenance checks, the company was able to extend the lifespan of their equipment by several years. Hypothesis: Regular maintenance checks can extend the lifespan of equipment by several years.Premise: The unemployment rate in the United States reached 10% during the Great Recession. Hypothesis: The unemployment rate in the United States peaked at 12% during the Great Recession.",2,0.9033166
